fit	g1	tau_exp	Size Distribution	Amplitude Size Dist (au)
0.1137	0.37304271577067993	0.01438381745396317	None	None
0.1134	0.28931792559160385	0.014415852682145715	None	None
0.1131	0.20196041588360458	0.01444788791032826	None	None
0.1128	0.16077915570576806	0.014479923138510807	None	None
0.1125	0.1342227232867117	0.014511958366693353	None	None
0.1122	0.11203494926712665	0.014543993594875898	None	None
0.1119	0.15111800075146675	0.014576028823058446	None	None
0.1116	0.26191594638612514	0.014608064051240991	None	None
0.1113	0.350995866215726	0.014640099279423537	None	None
0.111	0.30469435049462845	0.014672134507606084	None	None
0.1107	0.21974821495678043	0.01470416973578863	None	None
0.1105	0.17336840786674657	0.014736204963971175	None	None
0.1102	0.13350244269076939	0.014768240192153722	None	None
0.1099	0.09166353501177582	0.014800275420336267	None	None
0.1096	0.10541149943628625	0.014832310648518813	None	None
0.1093	0.20336966052855132	0.01486434587670136	None	None
0.109	0.31235124639852074	0.014896381104883906	None	None
0.1087	0.3175654515844144	0.014928416333066451	None	None
0.1085	0.242296129274564	0.014960451561248998	None	None
0.1082	0.19289427533476555	0.014992486789431544	None	None
